方剂名称,方剂药物组成,主治,功效,日期,时间,备注：表格中不可出现合并单元格，不可出现特殊字符，否则将导致数据表无法正常展示。数据请填写在有相应列名的下方，无列名的区域内的数据将无法入库。时间格式填写时请选择正确的单元格格式：日期，具体时间格式请按照XXXX/XX/XX XX:XX书写，否则将无法入库。（为保障您上传的数据顺利入库，请选择2007及以上版本的office软件操作）
秘传百解散,人参7钱，甘草（炙）3钱5分，白术6钱，白茯苓6钱，黄耆（炒）5钱，陈皮（去白）5钱，糯米（炒）5钱，升麻（炒）2钱，川芎3钱，白芷3钱，天麻2钱5分，僵蚕（炒）1钱5分，南星（姜制）5分。,小儿感冒风寒，身热咳嗽，欲出瘾疹，并痘后欲出麻疹。,,2021/5/19,2021/5/19 15:00,
破疟散,白术5钱，黄耆5钱，半夏1钱，防风1钱，羌活1钱，陈皮1钱，甘草1钱。,春温之症，伤风而邪留子阳分，日间发热，口干舌燥，至夜身凉，神思安闲，似疟非疟。,,2021/5/19,2021/5/19 15:00,
真人还少丹,黄精（炙）36两，党参（去芦）16两，山药24两，大茴香24两，远志（炙）24两，甘草24两，苁蓉（炙）24两，牛膝24两，九菖蒲24两，茯苓24两，熟地24两，莲须24两，杞子24两，五味子（炙）24两，续断24两，巴戟肉（炙）24两，楮实子24两，杜仲炭24两，山萸肉（炙）24两。,气血不足，精髓不固，腰痛腿痠，发热盗汗。,理气健脾，滋补心肾。,2021/5/19,2021/5/19 15:00,
秘传加味二陈汤,陈皮、半夏、茯苓、白术、甘草。,呕吐恶心。,,2021/5/19,2021/5/19 15:00,
秘传加味枳术丸,白术3两，枳实（麦麸炒）1两，苍术（米泔水浸2宿）1两，猪苓（去皮）1两，麦糵面（炒）1两，神曲（炒）1两，半夏（汤泡透）1两，泽泻（去毛）7分，赤茯苓（去皮）7分，川芎7分，黄连（陈壁土炒，去土）7分，白螺狮壳（煅）7分，草豆蔻5钱，砂仁（炒）5钱，黄芩（陈壁土炒，去土）5钱，青皮（去白）5钱，萝菔子（炒）5钱，干姜5钱，生姜5钱，陈皮（去白）3钱，香附子（童便浸）3钱，瓜蒌仁3钱，厚朴（姜汁制，炒）3钱，槟榔3钱，木香2钱，甘草2钱。,清痰、食积、酒积、茶积、肉积在胃脘，当心而痛，及痞满恶心，嘈杂呕吐。,,2021/5/19,2021/5/19 15:00,
真武丸,附子1两，冬术4两，白芍4两，茯苓4两。,少阴腹痛，四肢沉重，呕咳下利，小便不利，痰饮水气。并治伤寒汗多亡阳，筋惕肉瞤，气虚恶寒。,,2021/5/19,2021/5/19 15:00,
涂唇膏,石燕子（为末）。,襁褓小儿咳嗽吐乳，久不愈。,,2021/5/19,2021/5/19 15:00,
涤滞消瘀汤,木香3钱，香附米3钱，黑姜3钱，延胡索3钱，当归身4钱，吴茱萸3钱，蜈蚣2条，血余3钱，人参2钱，山甲1钱，川芎3钱，陈皮4钱。,产后腹痛。因其腹中素有陈寒结气，及至产后血行多滞，以致恶露不尽，凝聚作痛。,,2021/5/19,2021/5/19 15:00,
涤痰丸,大黄5斤，炒黑丑1斤8两，黄芩1斤8两。,痰火瘀结，气急疯痫，湿热咳嗽，喘满胸闷，痰涎壅盛，大便燥结。,清热化痰，开瘀化痞。,2021/5/19,2021/5/19 15:00,
润肠丸,桑根白皮（锉）半两，甜葶苈（隔纸微炒）半两，防己半两，天门冬（去心，焙）半两，枳壳（去瓤，麸炒）半两，槟榔（锉）1分，牵牛子（白者，炒香，为细末）1两。,肺脏壅盛，心胸满闷，咳嗽烦喘，咽隔痰滞，不欲饮食，大便多秘。,,2021/5/19,2021/5/19 15:00,
消黄汤,茵陈60g，萹蓄30g，金银花30g，酒炒大黄9g，酒炒黄芩9g，瞿麦15g，泽兰15g，赤芍12g，丹皮12g，六一散（包）12g，木通45g。,黄疸持续不退。症见尿黄赤而灼热，尿频，尿痛，大便干，时有发热，舌苔稍黄，脉弦数，湿热下注者。,清热利湿，解毒通淋。,2021/5/19,2021/5/19 15:00,
消积通经丸,南香附（醋炒）10两，艾叶（醋炒）2两，当归（酒洗）2两，南芎1两，赤芍1两，生地2两，桃仁（去皮）1两，红花（酒洗）1两，三棱（醋炒）1两，莪术（醋炒）1两，干漆（炒）1两。,经闭。气血不调引起的血瘀、血滞，经血不调，行经腹痛，以及骨蒸烦热、腰腿痠痛。,调经行血，温中化瘀。,2021/5/19,2021/5/19 15:00,
烧针丸,黄丹（水飞过）、朱砂、白矾（火煅）各等分。,小儿吐泻。小儿内伤乳食，吐泻不止，危甚者。吐乳壅塞。烦躁作渴，便黄腥臭，属热症者。脾胃虚弱，呕吐恶心，精神疲倦。,和胃止泄。,2021/5/19,2021/5/19 15:00,
涤瘀汤,山楂1钱半，苏木1钱半，桃仁1钱半，陈皮1钱半，归尾1钱，红花1钱，泽兰4钱，甜酒。,腹痛，痛不移处，为死血。,,2021/5/19,2021/5/19 15:00,
烧脾散,赤芍药6两半，干姜（炮）6两半，良姜（油炒）10两，甘草（炙）4两。,脾胃虚弱，久寒积冷，心气肿痛，冷痰翻胃，脐腹刺痛，呕吐恶心，不思饮食；及妇人血气攻刺，腹胁撮痛。,,2021/5/19,2021/5/19 15:00,
涣邪汤,白芍5钱，熟地5钱，麦冬5钱，甘草1钱，柴胡1钱，香附1钱，陈皮3分，白术3钱，玄参3钱，天花粉5分，苏子1钱。,阴气素虚，更加气恼，偶犯风邪，因而咳嗽。,,2021/5/19,2021/5/19 15:00,
消食清郁汤,陈皮、半夏（姜汁炒）、白茯苓（去皮）、神曲（炒）、山楂（去核）、香附米、川芎、麦芽（炒）、枳壳（麸炒）、栀子（炒）、黄连（姜汁炒）、苍术（米泔浸）、藿香、甘草。,嘈杂闷乱，恶心，发热头痛。,,2021/5/19,2021/5/19 15:00,
消食散,山楂、神曲、砂仁、麦芽、白术、陈皮、青皮、甘草（炙）。,小儿伤食腹痛。,,2021/5/19,2021/5/19 15:00,
消食丸,小麦糵1升，曲1升，干姜4两，乌梅4两。,数年不能食者及寒在胸中，反胃翻心者。脾胃俱虚，不能消化水谷，胸膈痞闷，腹胁时胀，连年累月，食减嗜卧，口苦无味，虚羸少气，胸中有寒，饮食不下，霍乱呕吐，及病后新虚，不胜谷气，或因病气衰，食不复常。,,2021/5/19,2021/5/19 15:00,
消食丸,乌梅（肉厚者）50枚（捶破，炒焦黄色），巴豆50粒（生用，去皮壳），胡椒200粒，吴茱萸（汤洗7次）1两，肉桂（去粗皮）半两。,久痢，心腹痛，胸膈不快，腹胀，不思饮食。,消食化积。,2021/5/19,2021/5/19 15:00,
烧青丸,轻粉2钱，玄精石1分，粉霜1钱，硇砂1钱，白面3两。,小儿奶癖、食癖，每至午后时作寒热，微有咳嗽，胁肋癖硬。,,2021/5/19,2021/5/19 15:00,
烧盐酒,白盐1合（新布数重包裹）。,血闭腹痛，产后瘀血腹痛。,,2021/5/19,2021/5/19 15:00,
消痞五疳丸,胡连5钱，木香3钱，麝香6分，芦荟3钱，赤茯苓4钱，蝉退8钱，使君肉5钱，泽泻4钱，蛤粉3钱，胆草3钱，粉甘草3钱，金灯15个，水獭肝1两，羊肝1两，防风3钱。,面黄肌瘦，懒食喜睡，腹胀泄泻，日晡潮热，目赤眵多，白翳遮睛，眼睑烂痒，口舌生疮，惊悸咬牙，龈肉肿痛，齿龈出血，喜食生冷，口唇蚀裂，咳嗽气喘，肚大青筋。,消痞除积。,2021/5/19,2021/5/19 15:00,
消毒散血汤,牛蒡（制）1钱，生白芍（酒洗）1钱，桃仁（炒去皮尖，研烂）1钱，酒炒大黄1钱，红花（酒洗）5分，没药5分，乳香（俱用灯心同研细，煎药将熟投入）5分。,痘疮当靥时，忽然腹痛。由于热毒凝滞，瘀血作痛，其痛着在中腕。,,2021/5/19,2021/5/19 15:00,
消渴痞丸,黄连1两，青黛1两，干葛1两，黄芩5钱，大黄5钱，黄柏5钱，山栀5钱，薄荷5钱，藿香5钱，厚朴5钱，茴香5钱，木香2钱半，辣桂2钱半，牵牛2两。,中消，或挟诸血肠风，心胁胀满，呕吐痿弱，湿热积毒。,,2021/5/19,2021/5/19 15:00,
消毒散,牛蒡（微炒）4钱，荆芥1钱，甘草1钱，防风5分，犀角（镑）5分。,痘疮毒气太盛，稠密成片，发热惊搐，舒舌瞪眼，脸赤腮肿，遍身赤痛,快透消毒。,2021/5/19,2021/5/19 15:00,
消毒利黄汤,川黄连1.5g，生山栀4.5g，淡竹叶6g，生甘草2.4g，连翘壳4.5g，西茵陈6g，赤茯苓6g，细木通2.4g，炒麦芽4.5g，生枳壳2.4g。,新生儿黄疸。婴儿出生10日左右，面目身黄，啼哭不安，腹胀，不思吮乳，或发热，舌红口干，指纹青紫。,清胎毒，利黄疸。,2021/5/19,2021/5/19 15:00,
消毒快斑汤,桔梗、甘草节、荆芥穗、赤芍药、黄耆、牛蒡子、防风、当归尾、玄参、连翘、前胡、木通、天花粉。,痘疹，发热1-2日而出者。,,2021/5/19,2021/5/19 15:00,
消寒止痛丹,广陈皮1两，广木香4两，白胡椒2两，全蝎2两，巴豆霜2两，寒食面4两。,胃脘寒痛，气滞不舒，食积腹痛，饮食过度，嘈心倒饱，内伤生冷，寒气串疼，疟疾膨胀。,,2021/5/19,2021/5/19 15:00,
消寒饮,白术5钱，人参5钱，肉桂1钱，肉豆蔻1钱，甘草1钱。,终日腹痛，手按之而宽快，饮冷则痛剧。,,2021/5/19,2021/5/19 15:00,
消斑化疹汤,玄参5钱，归尾3钱，石膏3钱，白芍5钱，地骨皮3钱，丹皮3钱，荆齐2钱，木通1钱，青蒿3钱，升麻1钱，麦冬3钱，甘草1钱。,小儿发热2-3日，肌肤之间隐隐发出红点，如物影之摇动，时有时无者。,,2021/5/19,2021/5/19 15:00,
消毒饮,蒲公英1钱2分，紫花地丁1钱2分，当归（酒洗）1钱，白芍（醋炒）1钱，赤芍1钱，丹皮1钱，地骨皮1钱，天花粉1钱，陈皮8分，生草3分，灯心50寸。,乳房或乳头黑晕之内肿毒未破，发热恶寒，疮处或痛，或不痛，或麻木。,,2021/5/19,2021/5/19 15:00,
消脓饮,生南星1两，知母3分，贝母（去心，炒）3分，生地黄3分，阿胶（炒）3分，川芎3分，桑白皮（炒）3分，甘草（炙）3分，防风半两，射干半两，北梗半两，天门冬（去心）半两，脑荷半两，杏仁（不去皮）半两，半夏（制）半两，紫苏叶半两，白芷半两，白及半两。,肺有痈脓，腥气上冲，呕吐咳嗽。,,2021/5/19,2021/5/19 15:00,
涤痰汤,南星（姜制）2钱半，半夏（汤洗7次）2钱半，枳实（麸炒）2钱，茯苓（去皮）2钱，橘红1钱半，石菖蒲1钱，人参1钱，竹茹7分，甘草半钱。,中风，痰迷心窍，舌强不能言。,豁痰清热，利气补虚。,2021/5/19,2021/5/19 15:00,
消积丸,砂仁半两，制青皮（锉）半两，净陈皮半两，莪术半两，三棱（并煨）半两，巴豆21个（去皮膜，不去油，同前5味炒令黄色，去巴豆不用）。,小儿乳食宿滞不化，胸膈不利，呕吐恶心，便利不调，大便酸臭，重伤乳食，或作诸痫。小儿一切所伤，面黄肌瘦，肚大腹胀，癖积块硬，头大脚细，虽进饮食，不生肌肉，腹内作痛，下痢腥臭。,消化癖积，美进乳食。,2021/5/19,2021/5/19 15:00,
涤波汤,陈皮5分，半夏5分，茯苓5分，甘草5分，麦门冬5分，胆南星5分，枳实5分，黄连5分，人参5分，桔梗5分，竹茹1钱。,心火克肺金，久而不愈，传为肺痿，咽嗌雌哑，胸膈痞闷，呕吐痰涎，喘急难卧者。,,2021/5/19,2021/5/19 15:00,
涤垢饮,黄芩3钱，赤芍1钱半，粉葛1钱半，麦冬2钱半，枳壳8分，生甘6分，秦皮5分，川连8分，花粉1钱半，粉丹1钱，桔梗8分，油归8分，杏仁1钱半，酒大黄1钱半。,寒热往来，腹痛下痢，里急后重。,行阳明壅滞，宣气血郁热。,2021/5/19,2021/5/19 15:00,
涌涎汤,人参芦1钱。桔梗2钱，牙皂（炙，去皮）5分。,中风，胸次痰结，痞满不和。,,2021/5/19,2021/5/19 15:00,
消疳退热饮,山楂（去子）、乌药、灯心、竹茹、槟榔尖、使君子、芜荑仁、淮木通、黑牵牛、大黄、柴胡、莪术（煨）、枳壳（去瓤）、黄芩、甜葶苈。,肝胆经热毒瘰疬，小儿疳积发热，肚大青筋，骨瘦如柴。,,2021/5/19,2021/5/19 15:00,
消癖清肌汤,柴胡1钱，鳖甲1钱，黄芩7分，山楂肉7分，神曲7分，白芍药7分，半夏5分，地骨皮5分，人参5分，木通5分，胡黄连3分，甘草3分。,腹有癖块，寒热如疟，口渴尿赤，盗汗咳嗽，或昼歇夜发。,,2021/5/19,2021/5/19 15:00,
消疳神丹,雄黄3钱，麝香5分，胆星2钱，全蝎3钱，僵蚕3钱，巴豆（去油）5分。,小儿诸疳，肚大黄瘦，腹痛虫积。,,2021/5/19,2021/5/19 15:00,
消食散,白术（去芦，去油，陈壁土炒）2钱半，红陈皮（温水洗，去白）7分，南香附米（去毛，炒）7分，山楂（蒸，去核取肉）1钱，大麦芽（炒）1钱，四花青皮（去瓤）7分，砂仁（去壳）1钱，甘草（炙）5分，神曲（炒）7分。,小儿腹痛，多是饮食所伤。,和脾消食。,2021/5/19,2021/5/19 15:00,
消饮丸,干姜3两，茯苓3两，白术8两，枳实4枚（炙）。,酒澼。饮酒停痰水不消，满逆呕吐，目视（目巟）（目巟），耳聋，腹中水声。水饮。,,2021/5/19,2021/5/19 15:00,
消饮白术丸,白术3两，半夏（汤洗去滑，焙）3两，枳壳（去瓤，麸炒）4两，干姜（炮）2两。,痰癖，及饮酒停痰，积聚不利，呕吐，目视（目巟）（目巟），耳聋，肠中水声。,,2021/5/19,2021/5/19 15:00,
消毒饮,当归3钱，白芷3钱，青皮（炒）3钱，天花粉3钱，贝母3钱，柴胡3钱，僵蚕（炒）3钱，银花3钱。,吹乳、乳痈，憎寒壮热头痛者。,,2021/5/19,2021/5/19 15:00,
消导饮,香附、砂仁、神曲、麦芽、山楂子、干姜、兰草、木香、半夏。,妊娠饮食所伤，呕吐宿食，呕臭气不可闻，心腹绞痛，脉紧。,,2021/5/19,2021/5/19 15:00,
消石汤,消石（研）1两，桃仁（去皮尖双仁，研）1两，大黄（生，锉）1两，甘草（炙，锉）1两，蒲黄1两半，大枣（去核）10枚。,从高坠堕，伤折肢体，瘀血不行，发热肿痛。,,2021/5/19,2021/5/19 15:00,
消石矾石散,消石、矾石（烧）各等分。,女劳疸。黄家日晡所发热，而反恶寒，膀胱急，少腹满，身尽黄，额上黑，足下热，因作黑疸，其腹胀如水状，大便必黑，时溏。,,2021/5/19,2021/5/19 15:00,
消风散,藿香、川芎、甘草、人参、白茯苓、荆芥、逢州豆、甘草蚕、陈皮、蝉蜕、羌活、独活、防风。,眼目头痛。,,2021/5/19,2021/5/19 15:00,
消风散,荆芥穗半两，甘草（炙）半两，川芎半两，羌活半两，僵蚕（去嘴）半两，人参半两，茯苓半两，蝉蜕半两，藿香叶半两，防风半两，厚朴（姜炒）2钱，芍药2钱，陈皮（去白）2钱。,小儿风热。因解衣风邪客于皮毛，恶风，发热，多睡。,,2021/5/19,2021/5/19 15:00,
消风散,羌活8分，独活8分，僵蚕8分，藿香8分，枳壳8分，防风8分，天麻8分，地骨皮8分，蝉蜕8分，前胡1钱半，柴胡1钱，黄芩1钱，天花粉1钱，桔梗1钱，茯苓1钱，荆芥1钱，紫草1钱，牛子1钱，人参7分，川芎7分，甘草4分。,痰盛惊搐，谵语，狂急，口张，目作上视。痘前热则生风，项强，牵引，直视，口渴，舌强，如中风状。,,2021/5/19,2021/5/19 15:00,
消平散,川芎5钱，香附5钱，苍术5钱，苏叶5钱，厚朴5钱，藿香4钱，砂仁3钱，白芷3钱，陈皮3钱，炙草2钱，木香2钱，半夏4钱，麦芽6钱，神曲5钱，山楂1两。,痘疮，停食积滞而腹痛，或积滞腹中有块而作痛。,消积，法风，豁痰，宽胸，快气。,2021/5/19,2021/5/19 15:00,
消风散,甘菊、荆芥、当归、大豆叶（炒）、防风、茶叶、羚羊角（镑）、生石膏。,胎气伤于热毒，头旋眼花，腮项暴肿成核，痛甚呕吐。,,2021/5/19,2021/5/19 15:00,
消风散,龙脑薄荷2两（去土，令净），荆芥穗2两，羌活半两，川芎半两，细辛（去苗）1分，白术2两（锉），石膏（研极细、水飞晒干）1分，甘草半两（炙紫色）。,风头痛。,,2021/5/19,2021/5/19 15:00,
消风散,防风、杏仁、陈皮、全蝎（糯米炒，去头翅）、陈胆星、白附子、人参、甘草、升麻、干葛、生姜、南枣。,小儿肝中风。踞坐目斜视，举头不得，口嘴，手足不动。,,2021/5/19,2021/5/19 15:00,
消风羌活汤,羌活（去芦头）3两，甘菊花3两，麻黄（去根节）3两，芎藭3两，防风（去叉）3两，石膏（研）3两，前胡（去芦头）3两，黄芩（去黑心）3两，甘草（炙、锉）4两，枳壳（麸炒，去瓤）4两，白茯苓（去黑皮）半斤，蔓荆实半斤，细辛（去苗叶）半两。,风气不和，头昏目眩，鼻塞声重，语声不出，身体倦怠，肢节疼痛，痰壅咳嗽，寒热往来。,,2021/5/19,2021/5/19 15:00,
消风饮,荆芥穗3钱，薄荷2钱，桂枝尖3钱，羌活3钱，草乌3钱，麻黄3钱，酒黄芩3钱，防风2钱5分，甘草2钱。,外冒风邪，头痛身热，自汗有嚏，初感之时，脉象浮缓，或至2-3日其脉象亦有微数者。,,2021/5/19,2021/5/19 15:00,
消风宁嗽散,桔梗1钱，枳壳1钱，半夏1钱，陈皮1钱，前胡1钱，干葛1钱，茯苓1钱，苏叶1钱2分，杏仁1钱，桑白皮1钱，甘草4分。,感冒鼻塞，咳嗽。,,2021/5/19,2021/5/19 15:00,
润字丸,酒炒锦纹1两，制半夏1钱2分5厘，前胡1钱2分5厘，山楂肉1钱2分5厘，天花粉1钱2分5厘，白术1钱2分5厘，广陈皮1钱2分5厘，枳实1钱2分5厘，槟榔1钱2分5厘。,湿热食积，胸满不食，腹痛便闭，及夏秋赤白痢。,,2021/5/19,2021/5/19 15:00,
桃仁大黄汤,鬼箭羽2两，桃仁60枚（去皮尖），芍药4两，鬼臼2两（削去皮），橘皮1两，当归2两，生姜5两，桂心2两，柴胡1两，朱砂2两（研，汤成下），麝香1分（研，汤成下），朴消2两（研，汤成下），大黄3两（别浸）.,心腹痛不可忍，似疰病者；或暴得恶疰，搅刺欲死。,,2021/5/19,2021/5/19 15:00,
